Wavelength,Flux,Date,Filename
6498.77312133116,0.97260594,2020-11-26T21:13:43,1.csv
6498.81458049816,0.9539919,2020-11-26T21:13:43,1.csv
6498.85603966516,0.95776075,2020-11-26T21:13:43,1.csv
6498.89749883216,0.98148954,2020-11-26T21:13:43,1.csv
6498.93895799916,0.99743104,2020-11-26T21:13:43,1.csv
6498.98041716616,0.9984588,2020-11-26T21:13:43,1.csv
6499.02187633316,0.998601,2020-11-26T21:13:43,1.csv
6499.06333550016,1.0033194,2020-11-26T21:13:43,1.csv
6499.10479466716,1.0024222,2020-11-26T21:13:43,1.csv
6499.14625383416,0.994512,2020-11-26T21:13:43,1.csv
6499.18771300116,0.989888,2020-11-26T21:13:43,1.csv
6499.22917216816,0.9835444,2020-11-26T21:13:43,1.csv
6499.27063133516,0.9779594,2020-11-26T21:13:43,1.csv
6499.31209050216,0.9849369,2020-11-26T21:13:43,1.csv
6499.35354966916,0.989215,2020-11-26T21:13:43,1.csv
6499.39500883616,0.98031837,2020-11-26T21:13:43,1.csv
6499.43646800316,0.9779569,2020-11-26T21:13:43,1.csv
6499.47792717016,0.98598534,2020-11-26T21:13:43,1.csv
6499.51938633716,0.9894419,2020-11-26T21:13:43,1.csv
6499.56084550416,0.9905011,2020-11-26T21:13:43,1.csv
6499.60230467116,0.98721576,2020-11-26T21:13:43,1.csv
6499.64376383816,0.97242135,2020-11-26T21:13:43,1.csv
6499.68522300516,0.96198523,2020-11-26T21:13:43,1.csv
6499.72668217216,0.957236,2020-11-26T21:13:43,1.csv
6499.76814133916,0.9532092,2020-11-26T21:13:43,1.csv
6499.80960050616,0.96147835,2020-11-26T21:13:43,1.csv
6499.85105967316,0.9737686,2020-11-26T21:13:43,1.csv
6499.89251884016,0.98926586,2020-11-26T21:13:43,1.csv
6499.93397800716,1.002004,2020-11-26T21:13:43,1.csv
6499.97543717416,1.0010164,2020-11-26T21:13:43,1.csv
6500.01689634116,1.0023079,2020-11-26T21:13:43,1.csv
6500.05835550816,1.0082777,2020-11-26T21:13:43,1.csv
6500.09981467516,1.0091019,2020-11-26T21:13:43,1.csv
6500.14127384216,1.0067286,2020-11-26T21:13:43,1.csv
6500.18273300916,1.0046599,2020-11-26T21:13:43,1.csv
6500.22419217616,1.0047995,2020-11-26T21:13:43,1.csv
